claim,headline,question,parts,label,part
 ملاقات کمال خرازی با جان کری در پاریس !,دیدار کمال خرازی و جان کری در پاریس!,0,0.0,Agree,
 ملاقات کمال خرازی با جان کری در پاریس !,تکذیب خبر دیدار کمال خرازی با جان کری,0,0.0,Discuss,
 ملاقات کمال خرازی با جان کری در پاریس !,‍ جنجال بر سر ادعای ملاقات جان کری و رئیس شورای راهبردی روابط خارجی ایران در پاریس,0,0.0,Discuss,
 ملاقات کمال خرازی با جان کری در پاریس !,تکذیب خبر دیدار کمال خرازی با جان کری,0,0.0,Discuss,
 ملاقات کمال خرازی با جان کری در پاریس !,خبر دیدار خرازی با کری دروغ محض است,0,0.0,Disagree,
 ملاقات کمال خرازی با جان کری در پاریس !,خبر دیدار خرازی با جان کری تکذیب شد,0,0.0,Discuss,
 ملاقات کمال خرازی با جان کری در پاریس !,دیدار خرازی با جان کری تکذیب شد,0,0.0,Discuss,
 ملاقات کمال خرازی با جان کری در پاریس !,خرازی:‌ قصور اروپا در تعهدات برجامی پذیرفتنی نیست,0,0.0,Unrelated,
توقیف کارتن های دلار و تصاویر هادی العامری، ارسالی از ایران،در مرز عراق !,توقیف کارتن های دلار و تصاویر هادی العامری، ارسالی از ایران،در مرز عراق !,0,0.0,Agree,
توقیف کارتن های دلار و تصاویر هادی العامری، ارسالی از ایران،در مرز عراق !,توقیف یک محموله بزرگ شامل ۳۱ کارتن بسته‌های اسکناس ۱۰۰دلاری در مرز عراق,0,0.0,Discuss,
توقیف کارتن های دلار و تصاویر هادی العامری، ارسالی از ایران،در مرز عراق !,بازگشت آقای بازیگر با چکمه‌های کابویی‌اش +عکس,0,0.0,Unrelated,
 استعفای رئیس کل بانک مرکزی !,استعفای رئیس کل بانک مرکزی/ دولت در حال رایزنی برای معرفی جایگزین سیف,0,0.0,Agree,
 استعفای رئیس کل بانک مرکزی !,پشت پرده استعفای رئیس کل بانک مرکزی,0,0.0,Discuss,
 استعفای رئیس کل بانک مرکزی !,استعفای رئیس بانک مرکزی صحت ندارد,0,0.0,Disagree,
 استعفای رئیس کل بانک مرکزی !,خبر استعفای رییس بانک مرکزی تایید نشد,0,0.0,Discuss,
 استعفای رئیس کل بانک مرکزی !,رئیس کل بانک مرکزی استعفا داد / نهاوندیان جایگزین سیف می شود ؟,0,0.0,Agree,
 استعفای رئیس کل بانک مرکزی !, احتمال اخراج رئیس بانک مرکزی آمریکا قوت گرفت,0,0.0,Unrelated,
دریافت یک میلیون از معلولان بابت ثبت نام طرح ترافیک️ !,تکذیب دریافت هزینه یک میلیونی از معلولان برای ثبت نام طرح ترافیک,0,0.0,Discuss,
دریافت یک میلیون از معلولان بابت ثبت نام طرح ترافیک️ !,   دریافت هزینه یک میلیون تومانی از معلولان برای ثبت نام طرح ترافیک تکذیب شد,0,0.0,Discuss,
دریافت یک میلیون از معلولان بابت ثبت نام طرح ترافیک️ !,معافیت معلولان و بیماران خاص از پیش‌پرداخت یک‌میلیون تومانی طرح ترافیک,0,0.0,Disagree,
دریافت یک میلیون از معلولان بابت ثبت نام طرح ترافیک️ !,آخرین وضعیت سهمیه طرح ترافیک معلولان/ تحمیل هزینه میلیونی به معلولان,0,0.0,Agree,
دریافت یک میلیون از معلولان بابت ثبت نام طرح ترافیک️ !,ابطال کارت‌های ملی قدیمی برخی افراد از هفته آینده,0,0.0,Unrelated,
 فعالیت کانال های ناجا در تلگرام️ !, پلیس فتا در تلگرام صفحه رسمی ندارد,0,0.0,Disagree,
 فعالیت کانال های ناجا در تلگرام️ !,پلیس فتا در تلگرام ، صفحه رسمی ندارد/ایجاد صفحه جعلی پلیس،جرم است,0,0.0,Disagree,
 فعالیت کانال های ناجا در تلگرام️ !,سردار منتظرالمهدی از معاونت اجتماعی ناجا خداحافظی کرد,0,0.0,Unrelated,
"فروش پیام‌رسان بومی ""آی‌گپ"" به ستاد اجرایی فرمان امام  !","فروش پیام‌رسان بومی ""آی‌گپ"" به ستاد اجرایی فرمان امام تکذیب شد",0,0.0,Discuss,
"فروش پیام‌رسان بومی ""آی‌گپ"" به ستاد اجرایی فرمان امام  !","فروش پیام‌رسان بومی ""آی‌گپ"" به ستاد اجرایی فرمان امام تکذیب شد",0,0.0,Discuss,
سوءقصد به سعید مرتضوی در اوین و اقدام افرادی به دار زدن او️ !,سوء قصد به سعید مرتضوی تکذیب شد,0,0.0,Discuss,
سوءقصد به سعید مرتضوی در اوین و اقدام افرادی به دار زدن او️ !,دیده‌بان حقوق بشر از اجرا نشدن حکم سعید مرتضوی انتقاد کرد,0,0.0,Unrelated,
سوءقصد به سعید مرتضوی در اوین و اقدام افرادی به دار زدن او️ !,سعید مرتضوی به ١٣۵ضربه شلاق محکوم شد,0,0.0,Unrelated,
فیلترینگ تلگرام باتصمیم شورای عالی فضای مجازی !,فیلترینگ تلگرام با تصمیم شورای عالی فضای مجازی بوده است,0,0.0,Agree,
فیلترینگ تلگرام باتصمیم شورای عالی فضای مجازی !,تلگرام با تصمیم شورای عالی فضای مجازی فیلتر شد,0,0.0,Agree,
فیلترینگ تلگرام باتصمیم شورای عالی فضای مجازی !,فیلترینگ تلگرام با تصمیم شورای عالی فضای مجازی بوده است,0,0.0,Agree,
فیلترینگ تلگرام باتصمیم شورای عالی فضای مجازی !,شورای عالی فضای مجازی مصوبه ای درباره فیلتر تلگرام نداشته است,0,0.0,Disagree,
فیلترینگ تلگرام باتصمیم شورای عالی فضای مجازی !,شورای عالی فضای مجازی مصوبه ای درباره فیلتر تلگرام نداشته است,0,0.0,Disagree,
فیلترینگ تلگرام باتصمیم شورای عالی فضای مجازی !,تاکید مجدد ترامپ بر خروج نیروهای آمریکایی از سوریه,0,0.0,Unrelated,
خودداری صرافی‌های عراق از تبدیل ریال به دینار و سایر ارزها️ !,عدم دریافت و تبدیل ریال در عراق شایعه است,0,0.0,Disagree,
خودداری صرافی‌های عراق از تبدیل ریال به دینار و سایر ارزها️ !,بازار داغ خرید دینار عراق/ صرافی بانکها دلار را ۱۳۴۰۰ می‌فروشند,0,0.0,Unrelated,
خودداری صرافی‌های عراق از تبدیل ریال به دینار و سایر ارزها️ !,مشکلات زائران اربعین برای تهیه ارز/ خرید دینار از شعب ۳ بانک در عراق فراهم شد,0,0.0,Discuss,
عرضه نسخه های غیرقابل فیلتر تلگرام !,انتشار نسخه بلاک چین تلگرام و تلگرام ضد فیلتر,0,0.0,Agree,
عرضه نسخه های غیرقابل فیلتر تلگرام !,آیا با کمک Blockchain تلگرام به زودی غیر قابل فیلتر می شود!,0,0.0,Discuss,
عرضه نسخه های غیرقابل فیلتر تلگرام !,بار دیگر؛ تلگرامی که ضدفیلتر شد!,0,0.0,Agree,
عرضه نسخه های غیرقابل فیلتر تلگرام !, تلگرام، غیرقابل فیلتر می شود,0,0.0,Discuss,
عرضه نسخه های غیرقابل فیلتر تلگرام !,بازتاب جهانی رفع فیلتر تلگرام,0,0.0,Discuss,
به فاضلاب ریختن قرآن ها توسط عربستانیها درپی واگذاری اسلام به ایرانیان توسط پادشاه عربستان ! / شایعه 0868,به فاضلاب ریختن قرآن ها توسط عربستانیها درپی واگذاری اسلام به ایرانیان توسط پادشاه عربستان ! / شایعه 0868,0,0.0,Agree,
به فاضلاب ریختن قرآن ها توسط عربستانیها درپی واگذاری اسلام به ایرانیان توسط پادشاه عربستان ! / شایعه 0868,آیا برجام واقعا ۱۵۰ میلیارد دلار پول به ایران داد؟,0,0.0,Unrelated,
به فاضلاب ریختن قرآن ها توسط عربستانیها درپی واگذاری اسلام به ایرانیان توسط پادشاه عربستان ! / شایعه 0868,انتشار ترجمه کتاب «امام مهدی (عج) موجود موعود» به زبان اردو,0,0.0,Unrelated,
موافقت وزیر ارتباطات با فیلترینگ تلگرام !,تکذیب خبر موافقت وزیر ارتباطات با فیلترینگ تلگرام,0,0.0,Discuss,
موافقت وزیر ارتباطات با فیلترینگ تلگرام !,روایت حزب مؤتلفه از موافقت آذری جهرمی با فیلترینگ تلگرام,0,0.0,Discuss,
موافقت وزیر ارتباطات با فیلترینگ تلگرام !,وزیر ارتباطات: موافقتم با فیلترینگ تلگرام صحت ندارد,0,0.0,Discuss,
موافقت وزیر ارتباطات با فیلترینگ تلگرام !,تکذیب ادعای عضو جوان حزب موتلفه مبنی بر موافقت وزیر ارتباطات با فیلترینگ تلگرام,0,0.0,Discuss,
موافقت وزیر ارتباطات با فیلترینگ تلگرام !,شکایت مجلس از جهرمی به‌دلیل مذاکره پنهانی با رئیس تلگرام,0,0.0,Unrelated,
لیست تعرفه ریالی خدمات سروش مانند پیام شخصی ، ساخت کانال و ...!,لیست تعرفه‌ خدمات پیام‌رسان سروش از اساس دروغ است,0,0.0,Disagree,
لیست تعرفه ریالی خدمات سروش مانند پیام شخصی ، ساخت کانال و ...!,پیام‌رسان سروش از عدم تامین نیازهای زیرساختی توسط دولت گلگی کرد,0,0.0,Unrelated,
لیست تعرفه ریالی خدمات سروش مانند پیام شخصی ، ساخت کانال و ...!,تشکیل ۶۰ هزار پرونده حمایت مالی از درمان زوجین نابارور,0,0.0,Unrelated,
وقوع سونامی سرطان در ایران !,وقوع سونامی سرطان در ایران، واقعیت ندارد,0,0.0,Disagree,
وقوع سونامی سرطان در ایران !,سونامی سرطان در ایران نداریم,0,0.0,Disagree,
وقوع سونامی سرطان در ایران !,تکذیب ادعای سونامی سرطان در ایران,0,0.0,Discuss,
وقوع سونامی سرطان در ایران !,آب کارون به انگل سرطان مثانه آلوده است,0,0.0,Unrelated,
 استعفای وزیر ارتباطات بدلیل فیلترشدن تلگرام !,ماجرای استعفای وزیر ارتباطات پس از فیلتر تلگرام در ایران,0,0.0,Discuss,
 استعفای وزیر ارتباطات بدلیل فیلترشدن تلگرام !,آیا جهرمی با فیلتر شدن تلگرام استعفا میدهد؟ !,0,0.0,Discuss,
 استعفای وزیر ارتباطات بدلیل فیلترشدن تلگرام !,استعفای وزیر ارتباطات تکذیب شد,0,0.0,Discuss,
 استعفای وزیر ارتباطات بدلیل فیلترشدن تلگرام !,تصویب فیلتر شدن تلگرام، تکذیب شد,0,0.0,Unrelated,
تصویر دست دادن دختر رئیس مجلس با یک مرد آمریکایی !,تصویر دست دادن دختر رئیس مجلس با یک مرد آمریکایی !,0,0.0,Agree,
تصویر دست دادن دختر رئیس مجلس با یک مرد آمریکایی !,پیرترین آدم دنیا مرد + عکس,0,0.0,Unrelated,
تصویر دست دادن دختر رئیس مجلس با یک مرد آمریکایی !,دختر علی لاریجانی هم دکتر شد,0,0.0,Unrelated,
دستگیری و کشته شدن راننده بیل مکانیکی که با جسد کشف شده در حرم حضرت عبدالعظیم سلفی گرفت !,توضیح درباره راننده بیل مکانیکی که با مومیایی سلفی گرفت,0,0.0,Discuss,
دستگیری و کشته شدن راننده بیل مکانیکی که با جسد کشف شده در حرم حضرت عبدالعظیم سلفی گرفت !,ارتباط مستقیم تصادفات با اختلال خواب رانندگان,0,0.0,Unrelated,
دستگیری و کشته شدن راننده بیل مکانیکی که با جسد کشف شده در حرم حضرت عبدالعظیم سلفی گرفت !,تکذیب کشف جنازه مومیایی رضا شاه در اطراف حرم شاه‌عبدالظیم,0,0.0,Unrelated,
دستور قضایی فیلترینگ تلگرام صادر شد !,دستور قضایی مسدودسازی تلگرام صادر شد,0,0.0,Agree,
دستور قضایی فیلترینگ تلگرام صادر شد !,دستور قضایی برای مسدودسازی تلگرام صادر شد/ امروز فیلتر شود,0,0.0,Agree,
دستور قضایی فیلترینگ تلگرام صادر شد !,قوه قضائیه ایران رسما دستور مسدود کردن پیام‌رسان «تلگرام» را صادر کرد,0,0.0,Agree,
دستور قضایی فیلترینگ تلگرام صادر شد !,نخستین جلسه دادگاه علیه فیلترینگ تلگرام,0,0.0,Discuss,
دستور قضایی فیلترینگ تلگرام صادر شد !,پرونده های متجاوزان به حقوق عمومی در کوتاه‌ترین زمان ممکن رسیدگی می شود,0,0.0,Unrelated,
واگذاری ۵۰۰ کارت شناور طرح ترافیک به دیوان عدالت اداری !,واگذاری ۵۰۰ کارت شناور طرح ترافیک به دیوان عدالت اداری صحت ندارد,0,0.0,Disagree,
واگذاری ۵۰۰ کارت شناور طرح ترافیک به دیوان عدالت اداری !,واگذاری 500 کارت شناور طرح ترافیک به دیوان عدالت کذب است,0,0.0,Disagree,
واگذاری ۵۰۰ کارت شناور طرح ترافیک به دیوان عدالت اداری !,تکذیب واگذاری 500 کارت شناور طرح ترافیک به دیوان عدالت اداری,0,0.0,Discuss,
واگذاری ۵۰۰ کارت شناور طرح ترافیک به دیوان عدالت اداری !,خرید و فروش کارت شناور طرح ترافیک در بازار غیرقانونی است,0,0.0,Unrelated,
شهادت مستشاران ایرانی در حمله موشکی اسرائیل به پایگاه سپاه در سوریه !,تکذیب شهادت شماری از نیروهای مستشار ایرانی در «سلحب»,0,0.0,Discuss,
شهادت مستشاران ایرانی در حمله موشکی اسرائیل به پایگاه سپاه در سوریه !,حمله اسرائیل به مواضع نظامی سوریه و مقر نیروهای ایران,0,0.0,Discuss,
شهادت مستشاران ایرانی در حمله موشکی اسرائیل به پایگاه سپاه در سوریه !,اسرائیل مدعی حمله به پایگاه‎های ایران و حزب‌الله در سوریه شد,0,0.0,Discuss,
شهادت مستشاران ایرانی در حمله موشکی اسرائیل به پایگاه سپاه در سوریه !,شهادت 3 مرزبان در حمله تروریستی به میرجاوه / هنگام بازی « ایران- پرتغال»,0,0.0,Unrelated,
تعلق آژانس اینترنتی اسنپ به سپاه پاسداران !,اوبر نیویورک در حسرت عملکرد اسنپ و تپسی تهران,0,0.0,Unrelated,
تعلق آژانس اینترنتی اسنپ به سپاه پاسداران !,آیا سپاه مالک واقعی اسنپ است؟,0,0.0,Discuss,
تعلق آژانس اینترنتی اسنپ به سپاه پاسداران !,توضیحاتی درباره ارتباط اسنپ با سپاه/ پشت شرکت پردرآمد این روزهای کشور به کجا گرم است؟,0,0.0,Discuss,
کشته شدن دختر ۱۸ ساله تبریزی به دنبال تعقیب و گریز گشت ارشاد !,تکذیب خبر «کشته شدن دختر 18 ساله تبریزی به دنبال تعقیب و گریز پلیس»,0,0.0,Discuss,
کشته شدن دختر ۱۸ ساله تبریزی به دنبال تعقیب و گریز گشت ارشاد !,خبر مرگ دختر ۱۸ ساله تبریزی به دنبال تعقیب و گریز پلیس صحت ندارد + عکس ها و جزییات,0,0.0,Disagree,
کشته شدن دختر ۱۸ ساله تبریزی به دنبال تعقیب و گریز گشت ارشاد !,دستگیری مردمسافربرنما در تعقیب و گریز با پلیس,0,0.0,Unrelated,
کشف سنگ جادویی در میانمار که هر فلزی را ذوب می کند ! / شایعه 0867,سنگ جادویی عجیبی که تمام فلزات را آب می کند! +فیلم,0,0.0,Agree,
کشف سنگ جادویی در میانمار که هر فلزی را ذوب می کند ! / شایعه 0867,نمک و گوشت قرمز، سنگ کلیه را تشدید می‌کند,0,0.0,Unrelated,
کشف سنگ جادویی در میانمار که هر فلزی را ذوب می کند ! / شایعه 0867,سبک یا سخت بودن آب مصرفی با تشکیل سنگ کلیه ارتباط ندارد,0,0.0,Unrelated,
 کندشدن تلگرام با دستور مركز ملی فضای مجازی !,با دستور مركز ملی فضای مجازی؛ تلگرام كند می‌شود,0,0.0,Agree,
 کندشدن تلگرام با دستور مركز ملی فضای مجازی !,کند شدن تلگرام با دستور مرکز ملی فضای مجازی,0,0.0,Agree,
 کندشدن تلگرام با دستور مركز ملی فضای مجازی !,با دستور مرکز ملی فضای مجازی؛ تلگرام کند می‌شود,0,0.0,Agree,
 کندشدن تلگرام با دستور مركز ملی فضای مجازی !,کارشناسان برزیل: رکود اقتصادی برزیل تقصیر چین نیست,0,0.0,Unrelated,
کشف کیف مشکوک در میدان امام خمینی !,صحت و سقم کشف کیف مشکوک در میدان امام خمینی,0,0.0,Discuss,
کشف کیف مشکوک در میدان امام خمینی !,پیدا شدن بسته مشکوک در میدان امام خمینی(ره) تهران / پلیس ویژه راهی محل شد,0,0.0,Agree,
کشف کیف مشکوک در میدان امام خمینی !,تخلیه محوطه موزه لوور پاریس به دلیل یک کیف مشکوک,0,0.0,Unrelated,
کشف کیف مشکوک در میدان امام خمینی !,کشف عتیقه در میدان بهارستان,0,0.0,Unrelated,
بازداشت خبرنگار هتاک حین فرار ازکشور !,بازداشت خبرنگار هتاک حین فرار از کشور,0,0.0,Agree,
بازداشت خبرنگار هتاک حین فرار ازکشور !,خبرنگار هتاک حین فرار از کشور بازداشت شد,0,0.0,Agree,
بازداشت خبرنگار هتاک حین فرار ازکشور !,خبرنگار هتاک حین فرار از کشور بازداشت شد,0,0.0,Agree,
بازداشت خبرنگار هتاک حین فرار ازکشور !,«میثم.ر» در حین فرار از کشور بازداشت شد,0,0.0,Unrelated,
 فوت حمید بقایی در زندان !,تکذیب شایعه فوت حمید بقایی | مدیرکل زندان‌ها: بقایی تحت مراقبت پزشکی است,0,0.0,Discuss,
 فوت حمید بقایی در زندان !,فوت بقایی تکذیب شد,0,0.0,Discuss,
 فوت حمید بقایی در زندان !,شایعه فوت حمید بقایی صحت ندارد,0,0.0,Disagree,
 فوت حمید بقایی در زندان !,حمید بقایی در زندان دست به اعتصاب غذا زد / اعتصاب غذای حمید بقایی در اوین / بیماری حمید بقایی,0,0.0,Unrelated,
مفقود شدن ۲۶ نفر در سیلاب بخش دهدز شهرستان ایذه !,مفقود شدن ۲۶ نفر در سیلاب و تندباد بخش دهدز صحت ندارد,0,0.0,Disagree,
مفقود شدن ۲۶ نفر در سیلاب بخش دهدز شهرستان ایذه !,۲۶ نفر در سیلاب ایذه گم شدند,0,0.0,Agree,
مفقود شدن ۲۶ نفر در سیلاب بخش دهدز شهرستان ایذه !,گم شدن 26 نفر در سیلاب ایذه,0,0.0,Agree,
مفقود شدن ۲۶ نفر در سیلاب بخش دهدز شهرستان ایذه !,مفقود شدن دو خوزستانی بر اثر سیلاب اخیر,0,0.0,Unrelated,
گروکشی نوزاد به دلیل هزینه‌های زایمان در بیمارستان کمالی البرز !,"در بیمارستان‌های دولتی ""گروکشی"" نداریم/نوزاد تحت درمان است",0,0.0,Disagree,
گروکشی نوزاد به دلیل هزینه‌های زایمان در بیمارستان کمالی البرز !,گروکشی نوزاد در کرج؛ بیمارستان کمالی تکذیب کرد,0,0.0,Discuss,
گروکشی نوزاد به دلیل هزینه‌های زایمان در بیمارستان کمالی البرز !,تکذیب گروکشی نوزاد در بیمارستان کمالی کرج,0,0.0,Discuss,
گروکشی نوزاد به دلیل هزینه‌های زایمان در بیمارستان کمالی البرز !,هزینه زایمان طبیعی در همه بیمارستان رایگان است,0,0.0,Unrelated,
سند دستمزد نجومی بازیگران سریال پایتخت !,دستمزد نجومی بازیگران سریال پایتخت تکذیب شد +عکس,0,0.0,Discuss,
سند دستمزد نجومی بازیگران سریال پایتخت !,"شایعه دستمزد نجومی بازیگران سریال ""پایتخت""",0,0.0,Discuss,
سند دستمزد نجومی بازیگران سریال پایتخت !,دستمزد نجومی ستاره‌های psg فاش شد,0,0.0,Unrelated,
دستگیری سعید مرتضوی !,"دستگیری سعید مرتضوی؛ آیا او به زندان رفته یا به ""هتل اوین""؟",0,0.0,Agree,
دستگیری سعید مرتضوی !,سعید مرتضوی دستگیر شد + جزییات,0,0.0,Agree,
دستگیری سعید مرتضوی !,سعید مرتضوی در ویلای شمال دستگیر شد,0,0.0,Agree,
دستگیری سعید مرتضوی !,صدای ضبط شده مجتبی خامنه‌ای توسط سعید مرتضوی علت برگزاری غیرعلنی دادگاه کهریزک,0,0.0,Unrelated,
دستگیری سعید مرتضوی در شهر ری !,دادستان ری دستگیری سعید مرتضوی را تکذیب کرد,0,0.0,Discuss,
دستگیری سعید مرتضوی در شهر ری !,خبر بازداشت «سعید مرتضوی» در شهرری صحت ندارد,0,0.0,Disagree,
دستگیری سعید مرتضوی در شهر ری !,ادعای بازداشت سعید مرتضوی در شهرری,0,0.0,Discuss,
دستگیری سعید مرتضوی در شهر ری !,زنی که موبایل زائران شهر ری را می دزدید با 18 گوشی مسروقه بازداشت شد/عکس,0,0.0,Unrelated,
 درگیری مسلحانه و بمب گذاری سرنشینان خودرو پرشیا در محور کرمان - سیرجان !,خبر درگیری مسلحانه و بمب گذاری سرنشینان خودرو پرشیا در محور کرمان - سیرجان در شبکه‌های اجتماعی کذب است,0,0.0,Disagree,
 درگیری مسلحانه و بمب گذاری سرنشینان خودرو پرشیا در محور کرمان - سیرجان !,بمب گذاری در محور کرمان-سیرجان؟! / 4 تن دستگیر شدند,0,0.0,Discuss,
 درگیری مسلحانه و بمب گذاری سرنشینان خودرو پرشیا در محور کرمان - سیرجان !,انفجار بمب در سومالی 7 کشته بر جای گذاشت,0,0.0,Unrelated,
قتل ۴عضو خانواده دیواندره ای توسط یک مزدور حکومت !,قاتل متواری دیواندره ای کشته شد,0,0.0,Discuss,
قتل ۴عضو خانواده دیواندره ای توسط یک مزدور حکومت !,قاتل خانواده دیواندره ای در تعقیب و گریز پلیس کشته شد,0,0.0,Discuss,
قتل ۴عضو خانواده دیواندره ای توسط یک مزدور حکومت !,جنایت وحشتناک در دیواندره کردستان,0,0.0,Discuss,
قتل ۴عضو خانواده دیواندره ای توسط یک مزدور حکومت !,داماد ۲ عضو خانواده را در خوی به قتل رساند,0,0.0,Unrelated,
توضیحات ناجا درباره فیلم سیلی زدن مامور پلیس به تبعه افغانستانی !,توضیحات ناجا درباره فیلم سیلی زدن مامور پلیس به یک تبعه افغانستانی,0,0.0,Agree,
توضیحات ناجا درباره فیلم سیلی زدن مامور پلیس به تبعه افغانستانی !,سیلی زدن مامور پلیس به یک تبعه افغانستانی +عکس,0,0.0,Discuss,
توضیحات ناجا درباره فیلم سیلی زدن مامور پلیس به تبعه افغانستانی !,واکنش ناجا به سیلی‌زدن مامور پلیس به یک تبعه افغانستانی,0,0.0,Agree,
توضیحات ناجا درباره فیلم سیلی زدن مامور پلیس به تبعه افغانستانی !,بازداشت سفیر مصر در قبرس به دلیل سیلی زدن به مامور پلیس,0,0.0,Unrelated,
 انتشار تصویر ماهواره‌ای پایگاه‌ نظامی ایران در سوریه توسط اسرائیل وتهدید آن !,گاف صهیونیست ها و بی بی سی درباره پایگاه هوایی ایران در سوریه! +تصاویر,0,0.0,Discuss,
 انتشار تصویر ماهواره‌ای پایگاه‌ نظامی ایران در سوریه توسط اسرائیل وتهدید آن !,انتشار تصاوير پایگاه‌‌های ایران در سوریه توسط رسانه‌هاي اسراييل,0,0.0,Agree,
 انتشار تصویر ماهواره‌ای پایگاه‌ نظامی ایران در سوریه توسط اسرائیل وتهدید آن !,رژیم صهیونیستی با چند عکس، بشار اسد را به ترور تهدید کرد,0,0.0,Unrelated,
 انتشار تصویر ماهواره‌ای پایگاه‌ نظامی ایران در سوریه توسط اسرائیل وتهدید آن !,رسانه‌های اسرائیلی تصویر هوایی فرودگاه مهرآباد را به عنوان یک پایگاه هوایی ایران در سوریه منتشر کردند,0,0.0,Discuss,
 قدرت فضای مجازی موجب لغو حکم اعدام بهمن ورمزیار توسط نظام شد !,حکم اعدام بهمن ورمزیار پس از یک روز توقف، اجرا شد,0,0.0,Disagree,
 قدرت فضای مجازی موجب لغو حکم اعدام بهمن ورمزیار توسط نظام شد !,حکم اعدام «بهمن ورمزیار» اجرا شد,0,0.0,Disagree,
 قدرت فضای مجازی موجب لغو حکم اعدام بهمن ورمزیار توسط نظام شد !,دادستان همدان: شایعه عفو «بهمن ورمزیار» توسط رهبری صحت ندارد,0,0.0,Discuss,
 قدرت فضای مجازی موجب لغو حکم اعدام بهمن ورمزیار توسط نظام شد !,شوهر در دادگاه فیلم خیانت همسرش را رو کرد، او به اعدام محکوم شد,0,0.0,Unrelated,
 قدرت فضای مجازی موجب لغو حکم اعدام بهمن ورمزیار توسط نظام شد !,بهمن ورمزیار اعدام شد,0,0.0,Disagree,
فرار پدر عروس رئیس جمهور با هزاران میلیارد اختلاس از کشور !,تکذیب یک شایعه منتسب به رئیس‌جمهور,0,0.0,Discuss,
فرار پدر عروس رئیس جمهور با هزاران میلیارد اختلاس از کشور !,حکم اعدام چهار متهم پرونده اختلاس سه هزار میلیارد تومانی تایید شد,0,0.0,Unrelated,
فرار پدر عروس رئیس جمهور با هزاران میلیارد اختلاس از کشور !,اختلاس ۱۲۰۰ میلیارد تومانی در دو بانک کشور,0,0.0,Unrelated,
 استعفای وزیر بهداشت !,وزیر بهداشت ایران 'استعفا کرده است',0,0.0,Agree,
 استعفای وزیر بهداشت !,نماینده مجلس: استعفای وزیر بهداشت صحت دارد,0,0.0,Discuss,
 استعفای وزیر بهداشت !,استعفای وزیر بهداشت صحت دارد/خداحافظی هاشمی با معاونانش,0,0.0,Agree,
 استعفای وزیر بهداشت !, وزیر راه استعفا کرد,0,0.0,Unrelated,
دسترسی CIA به اطلاعات تلگرام و واتس آپ! !,"ویکی لیکس: سازمان سیا می‌تواند به اطلاعات رمزگذاری شده در ""تلگرام"" و ""واتس آپ"" افراد دست یابد",0,0.0,Discuss,
دسترسی CIA به اطلاعات تلگرام و واتس آپ! !,تلگرام و واتس آپ فیلتر می‌شود!,0,0.0,Unrelated,
دسترسی CIA به اطلاعات تلگرام و واتس آپ! !,دسترسی به واتس اپ در چین به طور کامل مسدود شد,0,0.0,Unrelated,
 الاغی که فلسطینیها مزین به پرچم اسراییل کرده و آتش زدند !,حماس به اسرائیل اعلام آتش‌بس کرد,0,0.0,Unrelated,
